sku,date,actual,predicted
CHN-1048,2026-05-25,44,31.42
CHN-1048,2026-06-01,25,31.42
CHN-1048,2026-06-08,45,31.42
CHN-1054,2026-04-20,30,28.45
CHN-1054,2026-04-27,34,28.45
CHN-1054,2026-05-04,38,28.45
CHN-1054,2026-05-11,37,28.45
CHN-1054,2026-05-18,28,28.45
CHN-1054,2026-05-25,84,48.04
CHN-1054,2026-06-01,35,28.45
CHN-1054,2026-06-08,39,28.45
CHN-1059,2026-04-20,75,80.94
CHN-1059,2026-04-27,52,42.77
CHN-1059,2026-05-04,53,80.94
CHN-1059,2026-05-11,48,42.77
CHN-1059,2026-05-18,41,42.77
CHN-1059,2026-05-25,46,42.77
CHN-1059,2026-06-01,43,42.77
CHN-1059,2026-06-08,96,80.94
ELE-1012,2026-04-20,41,33.81
ELE-1012,2026-04-27,36,33.81
ELE-1012,2026-05-04,34,33.81
ELE-1012,2026-05-11,28,33.81
ELE-1012,2026-05-18,32,33.81
ELE-1012,2026-05-25,45,33.81
ELE-1012,2026-06-01,41,33.81
ELE-1012,2026-06-08,43,33.81
ELE-1026,2026-04-20,9,16.44
ELE-1026,2026-04-27,11,16.44
ELE-1026,2026-05-04,19,16.44
ELE-1026,2026-05-11,14,16.44
ELE-1026,2026-05-18,14,16.44
ELE-1026,2026-05-25,20,16.44
ELE-1026,2026-06-01,34,32.88
ELE-1026,2026-06-08,9,16.44
ELE-1081,2026-04-20,18,18.69
ELE-1081,2026-04-27,13,18.69
ELE-1081,2026-05-04,13,18.69
ELE-1081,2026-05-11,18,18.69
ELE-1081,2026-05-18,22,18.69
ELE-1081,2026-05-25,20,18.69
ELE-1081,2026-06-01,18,18.69
ELE-1081,2026-06-08,17,18.69
FIL-1001,2026-04-20,16,22.53
FIL-1001,2026-04-27,19,22.53
FIL-1001,2026-05-04,21,22.53
FIL-1001,2026-05-11,16,22.53
FIL-1001,2026-05-18,23,22.53
FIL-1001,2026-05-25,10,22.53
FIL-1001,2026-06-01,17,22.53
FIL-1001,2026-06-08,14,22.53
FIL-1023,2026-04-20,29,41.03
FIL-1023,2026-04-27,34,41.03
FIL-1023,2026-05-04,30,41.03
FIL-1023,2026-05-11,29,41.03
FIL-1023,2026-05-18,26,41.03
FIL-1023,2026-05-25,31,41.03
FIL-1023,2026-06-01,36,41.03
FIL-1023,2026-06-08,34,41.03
FIL-1024,2026-04-20,11,18.49
FIL-1024,2026-04-27,6,18.49
FIL-1024,2026-05-04,14,18.49
FIL-1024,2026-05-11,12,18.49
FIL-1024,2026-05-18,10,18.49
FIL-1024,2026-05-25,11,18.49
FIL-1024,2026-06-01,15,18.49
FIL-1024,2026-06-08,14,18.49
FIL-1040,2026-04-20,41,33.37
FIL-1040,2026-04-27,37,33.37
FIL-1040,2026-05-04,42,33.37
FIL-1040,2026-05-11,41,33.37
FIL-1040,2026-05-18,46,33.37
FIL-1040,2026-05-25,53,33.37
FIL-1040,2026-06-01,44,33.37
FIL-1040,2026-06-08,140,66.74
FIL-1042,2026-04-20,31,35.65
FIL-1042,2026-04-27,65,61.39
FIL-1042,2026-05-04,28,35.65
FIL-1042,2026-05-11,24,35.65
FIL-1042,2026-05-18,29,35.65
FIL-1042,2026-05-25,23,35.65
FIL-1042,2026-06-01,32,35.65
FIL-1042,2026-06-08,29,35.65
FIL-1050,2026-04-20,2,2.8
FIL-1050,2026-04-27,2,2.8
FIL-1050,2026-05-04,4,5.12
FIL-1050,2026-05-11,1,2.8
FIL-1050,2026-05-18,0,2.8
FIL-1050,2026-05-25,2,2.8
FIL-1050,2026-06-01,1,2.8
FIL-1050,2026-06-08,3,2.8
GRP-1003,2026-04-20,9,16.05
GRP-1003,2026-04-27,8,16.05
GRP-1003,2026-05-04,9,16.05
GRP-1003,2026-05-11,8,16.05
GRP-1003,2026-05-18,7,16.05
GRP-1003,2026-05-25,15,16.05
GRP-1003,2026-06-01,5,16.05
GRP-1003,2026-06-08,9,16.05
GRP-1056,2026-04-20,20,20.24
GRP-1056,2026-04-27,41,29.23
GRP-1056,2026-05-04,15,20.24
GRP-1056,2026-05-11,43,29.23
GRP-1056,2026-05-18,15,20.24
GRP-1056,2026-05-25,20,20.24
GRP-1056,2026-06-01,20,20.24
GRP-1056,2026-06-08,23,20.24
OIL-1002,2026-04-20,51,57.18
OIL-1002,2026-04-27,46,57.18
OIL-1002,2026-05-04,54,57.18
OIL-1002,2026-05-11,41,57.18
OIL-1002,2026-05-18,51,57.18
OIL-1002,2026-05-25,53,57.18
OIL-1002,2026-06-01,45,57.18
OIL-1002,2026-06-08,39,57.18
OIL-1006,2026-04-20,28,39.48
OIL-1006,2026-04-27,21,19.77
OIL-1006,2026-05-04,14,19.77
OIL-1006,2026-05-11,19,19.77
OIL-1006,2026-05-18,12,19.77
OIL-1006,2026-05-25,13,19.77
OIL-1006,2026-06-01,6,19.77
OIL-1006,2026-06-08,14,19.77
